3015,5347,61524,32301,20376888
3011,5343,55245,29073,18831895
3024,5386,54290,29376,21519366
3022,5368,55426,29653,20158367
3023,5391,60176,30925,19955386
2948,5315,52611,28080,19974349
3042,5399,58248,30391,19270912
3037,5361,56434,29640,19472300
3036,5406,57711,30877,22277261
3033,5404,55433,29628,20067449
3042,5433,54382,29228,22303817
3055,5433,54009,28925,22055838
3066,5462,53774,28806,20311563
3074,5474,59287,31161,21844659
3073,5459,58369,30646,20860241
3066,5440,56232,29708,21718173
3079,5456,56194,29435,20707661
3087,5463,55679,29655,20546779
3082,5484,54863,29312,20279190
3095,5533,58834,31551,22771974
3100,5544,62757,33172,20510975
3104,5538,60270,31813,21848137
3106,5543,65122,34444,21587376
3109,5550,53324,28542,20552340
3105,5462,55477,29644,21178712
3114,5576,58591,30719,22486809
3114,5566,52225,28131,21475430
3130,5774,64729,33996,23046864
3141,5793,56552,30390,21673399
3144,5801,60467,32269,22912290
3141,5796,55155,30233,21993792
3153,5798,56928,30668,22358403
3154,5819,59901,31778,21682362
3155,5835,60740,32285,23413917
3172,5875,57280,30874,22856942
3166,5869,65823,34430,22836851
3165,5861,58957,31499,22970848
3165,5849,56816,31102,21824857
3172,5855,59907,32597,22522168
3175,5893,59517,31550,22829975
3178,5893,66186,35042,23911406
3181,5882,58781,31625,22206566
3183,5890,60326,32133,22877971
3184,5877,65467,34553,25267427
3184,5898,63388,32951,23720069
3195,5911,59715,31899,22116522
3200,5925,58428,31410,23850418
3197,5940,62982,33428,22609597
3203,5934,60255,31931,22409621
3207,5940,59267,31843,22614266
